username,community,topic,following,followers
bluenews_ch,Centrist,Social Justice,"['kurier_at', 'tagesschau', 'zeit', 'derstandard', 'faz']","['20minuten', 'heute_at', 'bluenews_ch', 'rtlaktuell', 'derstandard']"
srfnews,Centrist,Economic Policy,"['kleinezeitung', 'bluenews_ch']","['tagesschau', 'kurier_at', '20minuten']"
faz,Environmental,Foreign Policy,"['watson_news', 'heute_at']","['faz', 'krone_at', 'srfnews', 'derstandard']"
zeitimbild,Left-Wing,Social Justice,"['tagesschau', 'kurier_at', 'rtlaktuell']","['watson_news', 'bluenews_ch', 'srfnews', 'kleinezeitung', 'tagesanzeiger']"
rtlaktuell,Economic Reform,Climate Change,"['20minuten', 'rtlaktuell', 'zeit', 'derstandard', 'faz']","['faz', 'krone_at', 'zeit']"
derstandard,Environmental,Economic Policy,"['watson_news', 'zeitimbild', 'kurier_at', 'derstandard', 'faz']","['faz', 'krone_at', 'kurier_at']"
tagesanzeiger,Left-Wing,Foreign Policy,"['rtlaktuell', 'tagesschau', 'kleinezeitung', 'tagesanzeiger', 'faz']","['20minuten', 'zeitimbild', 'heute_at', 'krone_at', 'tagesschau']"
watson_news,Centrist,Health Care,"['20minuten', 'zeit', 'bluenews_ch', 'srfnews']","['20minuten', 'heute_at', 'bluenews_ch', 'srfnews', 'tagesschau']"
kurier_at,Environmental,Climate Change,"['rtlaktuell', 'tagesschau', 'kleinezeitung', 'derstandard']","['tagesschau', 'faz', 'srfnews']"
heute_at,Economic Reform,Foreign Policy,"['watson_news', 'tagesschau', 'krone_at', 'derstandard']","['zeitimbild', 'kurier_at', '20minuten', 'derstandard']"
tagesschau,Left-Wing,Economic Policy,"['zeitimbild', 'watson_news', 'tagesanzeiger']","['heute_at', 'kleinezeitung', 'rtlaktuell']"
zeit,Centrist,Foreign Policy,"['heute_at', 'krone_at']","['20minuten', 'heute_at', 'bluenews_ch', 'srfnews', 'zeit']"
kleinezeitung,Right-Wing,Climate Change,"['watson_news', 'heute_at', 'srfnews', 'rtlaktuell', 'krone_at']","['zeitimbild', 'watson_news', 'tagesschau', 'kurier_at']"
20minuten,Left-Wing,Health Care,"['zeitimbild', 'kleinezeitung']","['20minuten', 'zeitimbild', 'bluenews_ch', 'zeit', 'derstandard']"
