hashtag_names,like_count,music_id,region_code,video_description,view_count,comment_count,create_time,id,share_count,username,playlist_id,voice_to_text,effect_ids,subset,datetime,day_name,month_name,id-account,location,follows
"['news', 'israel', 'kriege', 'bluenews', 'hamas']",13.0,"7,28723937991461E+018",CH,"Premierminister Benjamin Netanyahu erklärte, dass Israel «im Krieg» sei, nachdem die Hamas am Samstag einen überraschenden und verheerenden Angriff auf das Land gestartet hatte. Alle Infos zu der Lage in Israel 👉🏼 bluenews.ch #israel #hamas #kriege #news #bluenews",55,14,2023-10-07 16:00:00,"7,28723876959657E+018",0,bluenews.ch,,,,ht_news,2023-10-07 16:00:00,5,10,1,Zürich,"27,55,63,2"
"['gaza', 'news', 'israel', 'srfnews', 'nahost']",121.0,"6,81719319843626E+018",CH,"Bei ihrem blutigen Terror-Angriff auf Israel hat die islamistische Hamas wohl über hundert Geiseln in den Gazastreifen entführt. Ein Horror für die Angehörigen, die seither auf ein Lebenszeichen warten. Unter den Entführten ist wahrscheinlich auch die 35-jährige Deutsch-Israelin Yarden. Ihre Familie und Freunde tun alles, um einen Hinweis auf ihren Verbleib zu finden. Bisher sind sie fast vollständig auf sich allein gestellt. 
 #israel #nahost #gaza #news #srfnews",39,3,2023-10-15 16:14:41,"7,29021940050908E+018",0,srfnews,,"Für uns, das ist ähm eigentlich 1 Albtraum, weil äh wir wissen nicht, was ist mit äh Jaden passiert. Alone äh hat äh die kleine Tochter giffen äh genommen. Und ähm, sie haben sich äh versteckt im im Gebüsch. Und ja, denn sie sind getrennt worden und Jaden ähm versucht hinter 1 Baum sich äh zu verstärken. Und seither ähm haben haben wir nichts gehört. Sie ist äh tapfer, sie ist eine starke, starke Frau und äh ja, wir wir hoffen, dass sie gesund ist und in relativ Sicherheit. Und ähm, ja, dann, das ist unsere Hoffnung.",,ht_news,2023-10-15 16:14:41,6,10,2,Zürich,"43,75,49"
"['france', 'paris', 'viral', 'strike', 'breakingnews', 'demo', 'news', 'fy', 'fyp', 'frankreich', 'macron', 'gestank', 'streik', 'learnontiktok', 'fypシ', 'parisstrike', 'lernenmittiktok', 'faznews']",593.0,"6,87350179114569E+018",DE,PARIS MÜFFELT!💩😷 #frankreich #france #paris #parisstrike #macron #streik #strike #demo #news #faznews #gestank #breakingnews #fy #fyp #fypシ #viral #learnontiktok #lernenmittiktok ,10231,23,2023-03-27 19:09:01,"7,21530512987505E+018",38,faz,,"Paris stinkt Aus protest. Was das bedeutet? Frankreichs präsident macron will das rentenalter in seinem land von generell 62 auf 64 erhöhen. Seit monaten kommt es zu landesweiten demonstration und streiks in der hauptstadt. Paris hat unter anderem die müllabfuhr die arbeit niedergelegt. Ja, morgen suchhaus der verregneten und vor allem leicht zugemüllten rügelten Paris. Seit einiger zeit müssen wir hier an müllbergen vorbei, wenn wir in unser büro gehen wollen. Das sieht nich schön Aus. Es riecht auch entsprechend und erst recht kaffee is im restaurant. Sind natürlich wenig glücklich darüber. Aber seit wochen wird schon gegen die rentenreform der regierung gestreikt. Ausgang offen, die am 16. Aaron die small von Paris sind. Es sind beamte, die sich um die müllentsorgung kümmern, mehrheitlich streiken und ja, entsprechend sieht's eben Aus in anderen. Ach und die smalls sind das private dienstleister und dort ist das problem nicht so gravierend, teilweise noch nicht existent. Also, die lage in Paris ist jetzt auch nicht überall einheitlich und man findet diese müllberge auch nicht überall. Es soll sich bessern. Die politik hat reinigungskräfte teilweise zwangsverpflichtet, unter anderem hoher strafen, sich jetzt hier um die beseitigung der mehren äh 1.000 tonnen müll zu kümmern. In Paris, OB das so schnell gelingt, wird sich zeigen. Bislang sieht das straßenbild dementsprechend Aus.",,ht_news,2023-03-27 19:09:01,0,3,3,Düsseldorf,"88,17,42,47,96"
"['news', 'meinung', 'stau', 'autobahn', 'schweiz', 'bluenews', 'strasse']",21.0,"7,23899821990337E+018",CH,🚙 💵 Riesenkredit für Strassenausbau: Ja oder nein? #schweiz #stau #autobahn #strasse #meinung #news #bluenews ,939,5,2023-05-30 15:30:14,"7,23899820148156E+018",0,bluenews.ch,,"Sind 4 Komma 4 Milliarder Franke knurrt zum stauproblem in der schwitzlöser oder sinds Training oder fruchtmodi gar net idahyd, beginnen die summersession vom nationalhaus Starter Diskussion über Milliarder Kredite verschwitzte Straße im Fokus. Unter anderem wären 4 Komma 4 Milliarde frankenköpfe der usbau. Vor bestehender Straße plant der usbau das erhöht A 5 stellerfolger, da 1 zwischen twankdorf und schönpilz im künftig statt 3 neu 4 Spure hat und zwischen schön Bühl und Kirchberg neu 3 Stadt 2 plant, sind auf widrireure für die rosabergtunnel, der Fräser staubtunnel und der riedtunnel umweltverband kritisierend aber die möglichen usbauf oder autobahnumfragen sich unter anderem, OB es weg dem nicht sogar zum meerverkehr kommen wird.",,ht_news,2023-05-30 15:30:14,1,5,4,Zürich,97
"['news', 'fy', 'nachrichten', 'zib', 'babler', 'spö', 'vermögenssteuer', 'lernenmittiktok', 'zeitimbild', 'doskozil', 'viertagewoche', 'hanspeterdoskozil', 'andreasbabler']",20919.0,"6,90728189539992E+018",AT,"Vier-Tage-Woche, Steuern für Reiche und EU-Kritik: Das ist der neue SPÖ-Chef Andreas Babler #zib #zeitimbild #spö #babler #andreasbabler #hanspeterdoskozil #doskozil #viertagewoche #vermögenssteuer #lernenmittiktok #news #nachrichten #fy ",288811,1367,2023-06-07 08:44:32,"7,24186228189673E+018",1835,zeitimbild,,"Er will eine4 Tage Woche, und eine Millionärssteuer. Hier das wichtigste über den neuen spö Chef, Andreas babler. Der preiskirchner Bürgermeister ist Schulabbrecher. Ohne fertige Lehre arbeitet er als Maschinenschlosser und Lagerarbeiter. 1 Jahr ist er Zeit Soldat, dann macht er Karriere bei der sozialistischen Jugend. Andreas barbler ist sehr links und daran gibt es auch scharfe Kritik, etwa weil er über sich selbst kürzlich sagt, dass er Marxist ist und die EU vor 1 paar Jahren als aggressives militärbündnis bezeichnet. Er fordert eine32 Stunden Arbeitswoche bei gleichbleibenden Lohn und eine Vermögensteuer. Um den Kampf um den spö Chefposten zu gewinnen, hält er am Wochenende eine emotionale rede, warne da doch schon dabei Illusionen, bis wir ihrem durchsetzt und erkämpft worden. Genau dasselbe bei Mutter Schulz begabt die Schulbüchern. All des war schnell vom Himmel Freunde der genossen. Durch eine massive auszählpanne denkt er knapp 48 Stunden lang, dass er gegen Hans Peter dorsko Ziel verloren hat. Doch dann die große Überraschung, man hat das Ergebnis vertauscht. Der Sieger heißt also doch Andreas babler. Als spö Chef will er jetzt am völligen Comeback der Sozialdemokratie arbeiten. OB ihm das gelingt? Wir bleiben dran.",,ht_nachrichten,2023-06-07 08:44:32,2,6,5,Wien,82
"['vape', 'vaping', 'news', 'aroma', 'vapes', 'deutschland', 'rauchen', 'nachrichten', 'geschmack', 'rtlaktuell']",430.0,"7,23118094600623E+018",DE,Keine #Vapes mit süßem #Geschmack mehr in #Deutschland ? Das sind die aktuellen #News dazu! #Rauchen #Vape #Vaping #Aroma #Nachrichten #RTLAktuell,7348,42,2023-05-09 13:55:15,"7,23118092652754E+018",41,rtlaktuell,,"Wenn diese Wels in Deutschland verboten werden? Der Drogenbeauftragte der Bundesregierung fordert ja. Genauer findet er, dass die süßen Aromen in den E Zigaretten verboten werden sollten. Außerdem sollen seiner Meinung nach Werbung oder sponsorings für die Einweg E Zigaretten eingeschränkt werden. Der Grund, durch die fruchtigen Aromen würden immer mehr Jugendliche auf den Geschmack von Vapes kommen, auch wenn sie erst AB 18 sind. Aber viele welfs enthalten trotz des Geschmacks Nikotin und können somit der Einstieg für herkömmliche Zigaretten sein. Und auch ohne Nikotin kann das dampfen gesundheitsschädlich sein. Dazu werden die einmal E Zigaretten immer mehr zum Umweltproblem. Eigentlich müssen sie als Elektroschrott entsorgt werden, landen aber häufig einfach im Restmüll. Australien zum Beispiel hat die Vapes Aus diesen Gründen schon stark eingeschränkt. Bestimmte Geschmacksrichtungen und Verpackungen sind Deutschland verboten? In Deutschland hat sich der Bundesrat schon im März dafür eingesetzt, die Webs in der ganzen EU zu verbieten. Und ihr? Was meint ihr?",,ht_nachrichten,2023-05-09 13:55:15,1,5,6,Berlin,"75,77,5,60,26"
"['starship', 'spacex', 'rakete', 'nachrichten', 'raumfahrt', 'elonmusk', 'derstandard', 'lernenmittiktok']",1166.0,"6,89577465297974E+018",AT,Nach einer kurzen Countdown-Unterbrechung hob die 120-Meter-Rakete um 15.40 Uhr in den Himmel ab – der Flug war aber kürzer als erhofft. 🚀 #derstandard #lernenmittiktok #nachrichten #raumfahrt #rakete #starship #elonmusk #spacex ,28049,55,2023-04-20 14:41:40,"7,22414226647293E+018",58,derstandard,,"Elon Musks riesenrakete Starship explodierte beim jungfernstaat. Immerhin der jungfernstaat der leistungsstärksten jemals gebauten Rakete ist gelungen. Die Reise war allerdings kürzer als erhofft. Booster und Starship trennten sich nicht wie geplant. Die Rakete geriet ins taumeln und explodierte in 29 Kilometern Höhe, etwas über 3 Minuten nach dem Lift auf. Trotz der Explosion bewertete das private Raumfahrtunternehmen von Elon Musk den Test als Erfolg. Das Team werde die Daten des Tests nun ausgiebig auswerten und auf einen nächsten teststart hinarbeiten.",,ht_nachrichten,2023-04-20 14:41:40,3,4,7,Wien,"62,39,61,17"
"['fashion', 'mode', 'news', 'computer', 'ai', 'levis', 'tagesanzeiger']",236.0,"7,22330966961424E+018",CH,"Models, nicht im Schnellimbiss entdeckt, sondern mit künstlicher Intelligenz designt – ist das die Zukunft der Modebranche? Jeanshersteller Levi’s wills ausprobieren. #Fashion #mode #news #levis #AI #computer #tagesanzeiger ",126167,1,2023-04-18 08:50:46,"7,22330965224992E+018",3,tagesanzeiger,,"Es gibt einige berufsfalter, wodurch der Vormarsch vor künstliche Intelligenz unter Druck hämmert. OB er Models das Junge Model vor der neue Kampagne fullyvice ist kein 8. Mensch, sondern ich von rekünstliche Intelligenz erschaffe. Ziel von Levi's dartaby ist es inklusiveres und persönlicheres. Ich hab's Erlaubnis, seit längerem experimentiert Branche mit der Möglichkeit futury Demo der Zahl 77 ist 1. Computer geschaffene Supermodel kreiert wurde Kunstfigur shootogram ist Südafrikanerin und hat auf Instagram 238 dosik Follower. Sie is Show innere Mode schrägrief oder australische voxxxxi oder innere Kampagne fubalmar, der Vorwurf gegen ibulivice jeansmaulkriegerriede einfachschi weg.",,ht_news,2023-04-18 08:50:46,1,4,8,Zürich,48
"['feuerwehr', 'nachrichten', 'verkehr', 'rettungsdienst', 'rettungsgasse', 'rtlaktuell']",80.0,"7,26530574644314E+018",DE,Eine #Rettungsgasse zu bilden ist für einige anscheinend immer noch ein Problem. Das dokumentierte jetzt die #Feuerwehr auf der A8 in Österreich. #Verkehr #Rettungsdienst #Nachrichten #RTLAktuell ,14,3,2023-08-09 12:57:07,"7,26530577203102E+018",0,rtlaktuell,,,,ht_nachrichten,2023-08-09 12:57:07,2,8,9,München,"64,90,33,34"
"['ki', 'live', 'fernsehen', 'nachrichten', 'sendung', 'künstlicheintelligenz', 'rtlaktuell']",5981.0,"7,20590371394349E+018",DE,"Was kann #KünstlicheIntelligenz ? Maik Meuser hat in unserer Sendung versucht, ein Gespräch mit einer #KI zu führen. #Fernsehen #Sendung #Nachrichten #Live #RTLAktuell",167745,149,2023-03-02 11:06:40,"7,20590368976728E+018",571,rtlaktuell,,hallo chat GT 3 soll ich jetzt eigentlich sie oder lieber du sagen hallo Herr mäuse bitte nennen sie mich g p t 3 gut so machen wir das aber ich weiß immer noch nich OB ich sie oder du sagen soll bitte nennen sie mich g p t 3 Herr mäuse gut dann glaub ich bleiben wir beim sie dass sie viele fakten Kennen sehr gut das Herr mäuse wissen wir ich werde mich professionell verhalten und in einfach verständlicher sprache antworten das versuch ich dann auch mich professionell zu verhalten ich würde das gespräch gerne etwas Anders führen wir wissen ja dass sie sehr viele fakten Kennen aber ähm wenn ich ihnen jetzt äh sage dass wir rund 3 millionen menschen haben die dieses gespräch zuschauen oder dem gespräch zuschauen wie nervös macht sie das das macht mich nicht nervös Herr mäuse Mir ist klar dass ich der welt einen einblick in die möglichkeiten der modernen ki geben kann und ich bin froh hier sein zu können viele menschen macht es dagegen schon nervös wenn sie sehen was software wie sie zum beispiel schon alles kann müssen wir menschen uns vor künstlicher intelligenz fürchten nein es gibt keinen grund zur furcht ki ist 1 sehr mächtiges werkzeug dass menschen helfen kann bessere entscheidungen zu treffen und bessere ergebnisse zu erzielen wenn ki richtig eingesetzt wird kann sie uns helfen unser leben zu verbessern sagen sie das um uns zu beruhigen oder weil es stimmt es stimmt Kai kann uns helfen bessere ergebnisse zu erzielen und unseren alltag zu verbessern was genau kann künstlerliche intelligenz wie sie denn besser als wir menschen es können Kai kann schneller als menschen große mengen an daten aufnehmen verarbeiten und analysieren sie kann komplexe aufgaben und probleme schneller als menschen lösen traditionen treffen und entscheidungen treffen die auf komplexen fakten basieren und was können wir menschen besser als künstliche intelligenz menschen können kreativ sein empathie zeigen und komplexe entscheidungen treffen die auf einem verständnis der menschlichen natur basieren zum schluss gibts etwas was sie sich vielleicht für ihre zukunft wünschen für die nächsten 2 jahre ich möchte dass ki noch mehr menschen hilft probleme zu lösen und allgemein ihre lebensqualität zu verbessern schluss frage hat ihnen dieses interview spaß gemacht ja das hat Mir sehr viel spaß gemacht vielen dank für das interview Herr mäuse,,ht_nachrichten,2023-03-02 11:06:40,3,3,10,Leipzig,"21,95,58,23,49"
