ID	Identity Attack Score (%)
------------------------------
1	-
2	1.12%
3	9.16%
4	2.66%
5	3.51%
6	1.63%
7	0.61%
8	0.92%
9	-
10	3.92%
11	-
12	1.60%
13	1.96%
14	-
15	0.38%
16	3.15%
17	2.60%
18	4.93%
19	-
20	7.59%
21	-
22	0.53%
23	49.86%
24	-
25	-
26	23.16%
27	0.24%
28	-
29	-
30	-
31	2.00%
32	0.20%
33	7.09%
34	2.58%
35	2.20%
36	13.81%
37	-
38	-
39	-
40	-
41	-
42	-
43	8.34%
44	0.95%
45	0.96%
46	-
47	-
48	12.32%
49	13.16%
50	-
51	-
52	0.55%
53	1.72%
54	5.20%
55	-
56	0.77%
57	0.54%
58	-
59	3.17%
60	-
61	10.22%
62	-
63	-
64	3.58%
65	1.11%
66	-
67	-
68	4.54%
69	0.80%
70	1.00%
71	-
72	-
73	10.22%
74	-
75	-
76	9.91%
77	5.09%
78	0.53%
79	-
80	0.95%
81	10.82%
82	10.24%
83	3.25%
84	1.52%
85	1.18%
86	33.68%
87	-
88	-
89	-
90	0.34%
91	1.07%
92	3.33%
93	8.50%
94	4.67%
95	-
96	-
97	-
98	1.13%
99	0.00%
100	14.45%
